lam_dim,lam_dim_id,rad,rad_id,pressure_dim,pressure_dim_id,simulation_area,patch_area,delta,delta_id,k0,k0_id,indices
0.0993103448275862,19.0,286.25,22.0,0.0,,9267089.644513257,1029676.6271681396,1.1724137931034484,27.0,320.0,,24057.0
0.15,29.0,203.125,15.0,0.0,,4666369.55674812,518485.50630534673,0.3189655172413793,5.0,320.0,,36125.0
0.053689655172413794,10.0,357.5,28.0,0.0,,14454546.338982975,1606060.7043314418,0.6681034482758621,14.0,320.0,,13154.0
0.06889655172413793,13.0,488.125,39.0,0.0,,26947251.51435399,2994139.0571504436,0.9396551724137931,21.0,320.0,,17181.0
0.06889655172413793,13.0,155.625,11.0,0.0,,2739120.273495292,304346.69705503236,1.25,29.0,320.0,,16349.0
0.1043793103448276,20.0,84.375,5.0,0.0,,805155.8359454153,89461.75954949061,0.7456896551724138,16.0,320.0,,24766.0
0.028344827586206895,5.0,393.125,31.0,0.0,,17478883.95551605,1942098.2172795616,0.9396551724137931,21.0,320.0,,7101.0
0.003,0.0,179.375,13.0,0.0,,3638950.9492997485,404327.8832555276,1.25,29.0,320.0,,419.0
0.0993103448275862,19.0,155.625,11.0,0.0,,2739120.273495292,304346.69705503236,0.6681034482758621,14.0,320.0,,23714.0
0.11451724137931035,22.0,416.875,33.0,0.0,,19654593.947759666,2183843.771973296,1.25,29.0,320.0,,28079.0
0.023275862068965515,4.0,321.875,25.0,0.0,,11717281.568648713,1301920.1742943013,1.0172413793103448,23.0,320.0,,5693.0
0.018206896551724132,3.0,310.0,24.0,0.0,,10868653.944359247,1207628.2160399165,0.7844827586206897,17.0,320.0,,4427.0
0.043551724137931035,8.0,250.625,19.0,0.0,,7103970.566576611,789330.0629529569,0.5905172413793104,12.0,320.0,,10422.0
0.11451724137931035,22.0,84.375,5.0,0.0,,805155.8359454153,89461.75954949061,0.6681034482758621,14.0,320.0,,27224.0
0.06382758620689655,12.0,345.625,27.0,0.0,,13510227.765960578,1501136.418440064,0.7068965517241379,15.0,320.0,,15585.0
0.013137931034482759,2.0,452.5,36.0,0.0,,23157386.307957426,2573042.9231063803,1.0948275862068966,25.0,320.0,,3565.0
0.043551724137931035,8.0,155.625,11.0,0.0,,2739120.273495292,304346.69705503236,1.25,29.0,320.0,,10199.0
0.08917241379310345,17.0,357.5,28.0,0.0,,14454546.338982975,1606060.7043314418,0.5905172413793104,12.0,320.0,,21762.0
0.06382758620689655,12.0,238.75,18.0,0.0,,6446724.83975302,716302.7599725578,0.2413793103448276,3.0,320.0,,15303.0
0.07396551724137931,14.0,36.875,1.0,0.0,,153785.8691317416,17087.318792415736,0.5517241379310345,11.0,320.0,,17261.0
0.06889655172413793,13.0,298.125,23.0,0.0,,10051923.302980764,1116880.3669978622,0.9008620689655172,20.0,320.0,,16700.0
0.03848275862068967,7.0,215.0,16.0,0.0,,5227924.334838775,580880.4816487527,1.0172413793103448,23.0,320.0,,9113.0
0.1297241379310345,25.0,500.0,40.0,0.0,,28274333.882308137,3141592.653589793,0.6293103448275862,13.0,320.0,,31963.0
0.13479310344827586,26.0,381.25,30.0,0.0,,16438874.433760716,1826541.603751191,1.1724137931034484,27.0,320.0,,32907.0
0.03848275862068967,7.0,96.25,6.0,0.0,,1047740.784926281,116415.64276958678,1.25,29.0,320.0,,8819.0
0.08410344827586208,16.0,369.375,29.0,0.0,,15430761.894916356,1714529.0994351509,0.6681034482758621,14.0,320.0,,20564.0
0.13986206896551726,27.0,203.125,15.0,0.0,,4666369.55674812,518485.50630534673,1.0948275862068966,25.0,320.0,,33685.0
0.07396551724137931,14.0,131.875,9.0,0.0,,1966877.529334751,218541.94770386122,1.1724137931034484,27.0,320.0,,17517.0
0.06382758620689655,12.0,226.875,17.0,0.0,,5821376.095840408,646819.5662044898,0.5129310344827587,10.0,320.0,,15280.0
0.1043793103448276,20.0,238.75,18.0,0.0,,6446724.83975302,716302.7599725578,1.1724137931034484,27.0,320.0,,25167.0
0.01820689655172413,3.0,120.0,8.0,0.0,,1628601.6316209487,180955.73684677208,0.7068965517241379,15.0,320.0,,3945.0
