lam_dim,lam_dim_id,rad,rad_id,pressure_dim,pressure_dim_id,simulation_area,patch_area,delta,delta_id,k0,k0_id,indices
0.01820689655172413,3.0,143.75,10.0,0.00013448275862068965,13.0,2337050.409959532,259672.2677732813,1.0,,320.0,,4003.0
0.15,29.0,298.125,23.0,7.241379310344827e-05,7.0,10051923.302980764,1116880.3669978622,1.0,,320.0,,36367.0
0.1043793103448276,20.0,476.25,38.0,3.1034482758620685e-05,3.0,25652066.129310824,2850229.569923425,1.0,,320.0,,25743.0
0.03848275862068967,7.0,179.375,13.0,6.206896551724137e-05,6.0,3638950.9492997485,404327.8832555276,1.0,,320.0,,9006.0
0.15,29.0,155.625,11.0,0.00028965517241379314,28.0,2739120.273495292,304346.69705503236,1.0,,320.0,,36028.0
0.1043793103448276,20.0,96.25,6.0,0.0002689655172413793,26.0,1047740.784926281,116415.64276958678,1.0,,320.0,,24806.0
0.06889655172413793,13.0,131.875,9.0,0.00028965517241379314,28.0,1966877.529334751,218541.94770386122,1.0,,320.0,,16288.0
0.12465517241379308,24.0,476.25,38.0,5.172413793103448e-05,5.0,25652066.129310824,2850229.569923425,1.0,,320.0,,30665.0
0.03848275862068967,7.0,310.0,24.0,0.0002172413793103448,21.0,10868653.944359247,1207628.2160399165,1.0,,320.0,,9351.0
0.043551724137931035,8.0,238.75,18.0,0.0003,29.0,6446724.83975302,716302.7599725578,1.0,,320.0,,10409.0
0.14493103448275862,28.0,72.5,4.0,0.00027931034482758614,27.0,594467.8698755286,66051.9855417254,1.0,,320.0,,34587.0
0.013137931034482759,2.0,488.125,39.0,0.0001862068965517241,18.0,26947251.51435399,2994139.0571504436,1.0,,320.0,,3648.0
0.14493103448275862,28.0,25.0,0.0,5.172413793103448e-05,5.0,70685.83470577035,7853.981633974482,1.0,,320.0,,34445.0
0.008068965517241379,1.0,143.75,10.0,0.00014482758620689654,14.0,2337050.409959532,259672.2677732813,1.0,,320.0,,1544.0
0.028344827586206895,5.0,393.125,31.0,8.275862068965516e-05,8.0,17478883.95551605,1942098.2172795616,1.0,,320.0,,7088.0
0.11958620689655172,23.0,381.25,30.0,0.0,0.0,16438874.433760716,1826541.603751191,1.0,,320.0,,29190.0
0.15,29.0,333.75,26.0,0.00028965517241379314,28.0,12597806.175849155,1399756.2417610174,1.0,,320.0,,36478.0
0.013137931034482759,2.0,500.0,40.0,0.00014482758620689654,14.0,28274333.882308137,3141592.653589793,1.0,,320.0,,3674.0
0.03848275862068967,7.0,393.125,31.0,4.137931034482758e-05,4.0,17478883.95551605,1942098.2172795616,1.0,,320.0,,9544.0
0.10944827586206897,21.0,96.25,6.0,2.068965517241379e-05,2.0,1047740.784926281,116415.64276958678,1.0,,320.0,,26012.0
0.04862068965517241,9.0,143.75,10.0,0.00021724137931034481,21.0,2337050.409959532,259672.2677732813,1.0,,320.0,,11391.0
0.1043793103448276,20.0,274.375,21.0,0.00020689655172413795,20.0,8514152.96895673,946016.9965507477,1.0,,320.0,,25250.0
