Param_id,C0,C0_id,rad,rad_id,delta,delkG,F0,k0,lam_dim,lam_dim_id,pressure_dim,pressure_dim_id,omega,neck_rad,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49
4003.0,-0.0,0.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,5.782036114208528,23.6211668108288,41.39754543972255,59.06432262572565,76.57571441617374,93.88748532793151,110.9577942403784,127.74794048429192,144.22368668615454,160.35673015614717,176.12662271270028,191.52349596444984,206.55101203936852,221.23058611316262,235.60601180976363,249.74900604404743,263.76511385118874,277.79083297475313,291.94958029692464,306.3276253200098,320.97957867446826,335.9349786875508,351.2045538981337,366.7852660469957,382.66493592553167,398.8255893760363,415.2461146547259,431.9043005648906,448.7780055219058,465.84624553192367,483.08963436971413,500.49074980176835,518.0343218753601,535.7071968883224,553.4984165333921,571.3990722810985,589.4022570795655,607.5029529158049,625.6978494138388,643.9852249388005,662.3646278390838,680.8365547571252,699.4018815876506,718.0609910117371,736.8125334371132,755.6513890232611,774.5657674147168,793.5327538082765,812.5118206661696,415.08748922193877,415.0316214059753,414.1552894799986,412.2176278404957,409.2244080842855,405.18482285469815,400.1114199880439,394.0211976322165,386.93533531334884,378.8804796536133,369.88934374562007,360.0016961521763,349.2662326487619,337.74181142128066,325.50044465669504,312.6302476580776,299.2400964868229,285.4662455545564,271.47301098902926,257.4150337805319,243.4165084604079,229.5761350809106,215.97113923474805,202.66052913485524,189.68758310337762,177.08259617448445,164.86511925877673,153.04614666051543,141.6302784813787,130.6171717511672,120.00338949468369,109.78348050943032,99.95116752931612,90.50039794811023,81.42596306598548,72.72454927333698,64.39523666075365,56.440367797399816,48.86634869634214,41.68434639680668,34.911532641061214,28.5719493976301,22.698070058404717,17.332363023519893,12.529059771899776,8.356763787172389,4.90063463742921,2.265859003824056,0.580809359172996,-0.00037340435778268784
4003.0,-0.014141414141414144,1.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,6.222004718690743,24.06814005907754,41.84753786219274,59.51109459445411,77.01045442844703,94.2983891086649,111.3294129047822,128.06031028974624,144.4513294098551,160.46713192031575,176.07864677663915,191.265096793727,206.01678229443118,220.33881680062257,234.25538701255297,247.81572318419083,260.4731848164916,273.8998082852138,287.663861566188,301.810858098616,316.3599424641638,331.31063945594474,346.6483414223039,362.3496001462658,378.3857776732142,394.72610059212616,411.3397208714205,428.197012904553,445.2705859426584,462.53554704046616,479.96989695724716,497.55443108904035,515.2727264677168,533.1110021763396,551.0579221911353,569.1044981496611,587.2438253263017,605.471001167352,623.7828812839554,642.1779002836323,660.6558033865248,679.2172465405872,697.863306041448,716.5945789365378,735.4100119545682,754.3049527802929,773.2683290809555,792.2783886022345,811.2964352895184,423.02357945682456,422.957566164064,422.03569136876325,420.02903638638696,416.9424090331434,412.7832442336691,407.56182500528297,401.2919391229122,393.99058876408117,385.679460264456,376.3846471588524,366.1381569439337,354.9786314595524,342.95271379979806,330.11708702128163,316.54030465025164,302.3067442467192,288.253670603394,273.3345123615388,258.4997261888451,243.8553789012278,229.4855554918408,215.45464971393682,201.8093676578876,188.58154724507648,175.79049181223027,163.4456178222987,151.5487840151032,140.09620286893062,129.08050394115241,118.49181776932285,108.31940536341415,98.55239547012444,89.18078503867542,80.1961790302,71.59233653525976,63.36606966855243,55.5175529231395,48.0513755286508,40.97708235963525,34.310218838883,28.07342368286324,22.297575630557986,17.023659618436664,12.304175096160623,8.205821921879108,4.811729507682994,2.22463381870028,0.5702428234238807,-0.00036624991211164963
4003.0,-0.028282828282828288,2.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,5.817212129900963,23.689862298175072,41.49392287898699,59.1778570187081,76.6905005112867,93.9814415967165,111.00118255814341,127.70183303680395,144.03751441848758,159.96552714593113,175.44728041687316,190.45024236403472,204.94985354634213,218.93278011953728,232.40052486428291,245.37476668021046,256.7250181229808,269.5130914163144,282.8630913504816,296.77466686442426,311.2272269551645,326.18635733100393,341.60960683231275,357.45092466591655,373.6639983418405,390.20444805842595,407.0311781911077,424.1070953011118,441.3993436940297,458.8793078563848,476.52237531176314,494.30768900308135,512.2177826745128,530.2383032340524,548.3576642578377,566.5668156936783,584.858951676965,603.2293287151919,621.6749995924592,640.1946264466308,658.7881499048424,677.4564675981252,696.2008411854863,715.0221588756688,733.9196643780673,752.8891994570978,771.9203863829505,790.9925815766237,810.0687800485707,430.68277483767326,430.62392035072645,429.7067185080268,427.679279591854,424.5455094780966,420.31085260343536,414.9835502385572,408.57382475208686,401.09515476233713,392.563734835019,382.99980410827794,372.4274445434514,360.8760397498105,348.3805338670121,334.98319499984774,320.73461863412604,305.6962525120069,291.4997573906895,275.6618930905187,260.03596442297277,244.72087488803075,229.79277970346737,215.3066584698859,201.29894583064385,187.79051444257493,174.7898692132561,162.29609738932527,150.3015018261757,138.7938516306172,127.7581591204245,117.17820751223483,107.03762206870779,97.3208973089547,88.01402375510756,79.1052592622422,70.58554485394629,62.44922212713677,54.69442003352985,47.32388431525694,40.34548282552238,33.773303996626375,27.628418382804465,21.94042193514911,16.748598869491964,12.104121571956375,8.071760513175839,4.732967622263088,2.1881950301423805,0.5609489096207424,-0.000359218275591977
4003.0,-0.042424242424242434,3.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,5.817200559591049,23.68907774502006,41.489630613223454,59.165057614582615,76.6615816911961,93.92565860625143,110.90391897435318,127.54361620706896,143.79269764589398,159.60059142562451,174.91861285264525,189.70131533096242,203.90759262885544,217.5030232990303,230.46230988250244,242.7734085014381,253.3639416457241,265.4423330807285,278.3436275368024,292.0113319092262,306.37571294860334,321.3610008429538,336.89121526688723,352.8939817336428,369.3029191684304,386.0587462518476,403.10957944657514,420.41071479251,437.9240798671617,455.6176073710442,473.46451024968803,491.44266034344366,509.53394912206085,527.7238019227278,546.0006871351625,564.3557738752131,582.7825693138337,601.2766780279128,619.8355067882546,638.4580494335991,657.1445531546401,675.8961915521272,694.7144935320316,713.6006285176284,732.5541950281993,751.5715369203275,770.6430577308463,789.749350149463,808.8553740744421,438.1137370921567,438.0537515502469,437.11884582848984,435.05175403845595,431.8552668696958,427.5330458489933,422.0908501621132,415.53561753883963,407.8766607224922,399.12496277795344,389.29436077221385,378.401086314494,366.46496893898086,353.5092719543618,339.56198025040163,324.65603484637705,308.830871082584,293.792826007319,277.04519855462445,260.6308910715997,244.65129534562527,229.17906864219086,214.26105205507625,199.92260412063115,186.1721122342778,173.00539540056363,160.40946121566566,148.36561196101925,136.85191238212406,125.84500253617298,115.32156359656244,105.25925887556498,95.63761804694764,86.43850618174021,77.64675511741672,69.25044349557155,61.24150037787994,53.61598668140114,46.37483556452797,39.524276810937096,33.07686202273963,27.05216015354396,21.478233192950782,16.392739168292422,11.845061435635946,7.897959564559027,4.630575428335022,2.140699038512794,0.5487523801738442,-0.00035140899734795205
4003.0,-0.056565656565656576,4.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,5.8171888301776935,23.68828217368516,41.48527530376335,59.15205761449975,76.63217168778874,93.86883748181131,110.8046580577683,127.38179985715479,143.54169770188759,159.22541371566209,174.37344578376408,188.92636561709443,202.82492558724132,216.01120441605119,228.42939768476543,240.0279728129265,249.79324663475845,261.10328012174784,273.52990625912776,286.95290248526686,301.245157428946,316.282422802813,331.94982704377793,348.1450489472294,364.77943682445283,381.7776385349213,399.0765002836926,416.6236461902935,434.37596081606637,452.29821212163176,470.36176514579455,488.5435440227964,506.8250967569289,525.1918912089261,543.6326781751268,562.139037900838,580.7049507162562,599.3265009847753,618.0015572202661,636.7295320783343,655.5110496093914,674.3476156303677,693.2410718233753,712.1929063629161,731.2031058642223,750.268549289605,769.3804602355591,788.5207202480893,807.6563329225833,445.28119001175287,445.2200792325863,444.2675585195109,442.16099865029366,438.90204934111847,434.49255230687487,428.9357408212349,422.23522378924207,414.39611337642486,405.424170487736,395.3268654673468,384.112694103817,371.7921766542586,358.3773504133306,343.88270662717645,328.3248539906488,311.72337750040964,295.8597327959114,278.2020161982088,260.98190935534,244.31724765418844,228.28454316411447,212.92541437187603,198.254455873334,184.26659441127651,170.94352667514224,158.25873445395553,146.18126964328437,134.67850303735045,123.71796460003858,113.2687091003318,103.3020810792852,93.79241331589942,84.71730262297156,76.05807314406965,67.79989980829966,59.93228235911814,52.44921056751357,45.34980699892939,38.638664906326156,32.326795086916064,26.432252234748894,20.98153921491805,16.010647697295553,11.567112861365823,7.711602379473332,4.520840117294892,2.0898151494502533,0.5356886398930705,-0.00034304482829496384
4003.0,-0.07070707070707072,5.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,8.3512147957292,26.161523639471675,43.887320071388295,61.470525450813426,78.85238879315607,95.97306639682046,112.7713623198629,129.1843759027216,145.1469463802244,160.59146139277877,175.44716214901226,189.6394798791328,203.08972886757,215.7138864976857,227.42184781928228,238.11647444340545,246.91019600566563,257.4973125155339,269.5058666862489,282.7453722353483,297.02380903844016,312.1631088291843,328.0064065321085,344.4201581226225,361.29368466670405,378.5365461781951,396.075657792175,413.852472708922,431.8202105987764,449.9417226814003,468.18764360828925,486.5348296555143,504.965255808692,523.465043296258,542.023718384411,560.6336682197624,579.2896616446934,597.9884949540387,616.7286968762343,635.5102196697645,654.3341652643404,673.2024274946333,692.1171910964794,711.080265100231,730.092034319965,749.1499014759945,768.2459679833082,787.3635156707531,806.4718776004903,452.1947664133186,452.066572712116,450.93482914444087,448.63424398497716,445.1648895067048,440.5272293051622,434.7215116906616,427.7482663335746,419.60823180097816,410.30196611019096,399.8305586354321,388.195120130159,375.396748496997,361.43717358101975,346.3180413614386,330.0412872523387,312.6092984041484,295.91872684282316,277.44228092865,259.5011610202019,242.23958333115644,225.74108704853126,210.0415664382188,195.1425792876307,181.02274316506745,167.64729864433178,154.97438509360174,142.95954179250367,131.55885543399717,120.73040605365016,110.4355710727553,100.63967138724415,91.31198339121995,82.42623874883584,73.96058834326406,65.89762881707502,58.2247517963157,50.934188716034214,44.023402273616746,37.495667203198046,31.360450713512172,25.6344251814158,20.342492626733087,15.518871855694535,11.208951736400847,7.471074018087214,4.378771455016921,2.0237506396348106,0.5186098594205144,-0.00033408106385701794
4003.0,-0.08484848484848485,6.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,4.674845423964345,20.40341056131624,38.29053518500925,56.046178664536896,73.60751042462148,90.91015124834269,107.88753098240831,124.47038158766598,140.58583167498188,156.1563794020501,171.09896705110305,185.32334417801638,198.7300576908102,211.20830560349884,222.6324345663256,232.8572141778492,240.78440972116334,250.08920184105912,261.2960536283667,274.0867816363832,288.1901390812405,303.3549905250476,319.3637230711044,336.0359668154898,353.22648262576826,370.8202332157147,388.7271124842998,406.87706339995316,425.2157714103125,443.7012483323922,462.30117258362,480.9907541538348,499.75112222354835,518.568122015221,537.4313628990641,556.3335010233452,575.2697100702968,594.2372489354784,613.2351085067213,632.2637194538138,651.3246445804648,670.4202123524642,689.5530625421443,708.7254750180542,727.9383538218823,747.1897405413629,766.4725374780335,785.771079053795,805.0561052752935,459.91374009928006,459.8727650808066,459.13235560767686,457.1514632099638,453.9587146133229,449.55293422303225,443.9321970361822,437.0937568396409,429.0345794032692,419.75076335783166,409.23739018504614,397.48899043344915,384.49902836115615,370.25970887916054,354.76245321189344,337.9975916202825,319.95440032350444,302.8794607351732,283.385757939957,264.30223594273286,245.98036206473148,228.54623506726242,212.05159449539605,196.49607420933566,181.84680057875732,168.05322961454416,155.05684200847998,142.79745435133864,131.21712860217778,120.26202450900921,109.88337824862757,100.03807485708286,90.68859304260864,81.80287424536016,73.35436905139588,65.32186580267465,57.68939950665066,50.44649837619436,43.58834975931053,37.11606769529868,31.03739876972834,25.367442079120693,20.129485917156003,15.356441525573347,11.092405884062066,7.394353786827589,4.334683330729908,2.0039859064854006,0.5137896157737328,-0.0003261374965963438
4003.0,-0.098989898989899,7.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,8.359932563825238,26.176585739550468,43.901519066160276,61.47120424979145,78.82054338310436,95.88198063452477,112.58480141238888,128.85395437905987,144.6087726103855,159.76159377258992,174.21538350923313,187.86142028209733,200.57558981398282,212.21328114936645,222.60326637296475,231.53717698227481,238.11276517054526,246.8685552923277,257.80167587426035,270.56512978914816,284.80620424204966,300.20652532126667,316.4990810063002,333.47038527415856,350.9540886809025,368.82294209962754,386.9804662349378,405.3537733839196,423.88805810724546,442.5421054782215,461.2850324848992,480.0938258078666,498.95145898667806,517.8455763524021,536.7674572988366,555.7112693847135,574.6735147251641,593.6525871945572,612.6484424974718,631.662300341903,650.6963500968241,669.7534307057554,688.8365842704162,707.9484454058054,727.0903280299059,746.2608287206473,765.453765689998,784.6550458505493,803.8380742838739,466.6532944700251,466.5197239742308,465.3413185984868,462.9449583877543,459.3282953253503,454.4879578283288,448.4188828479092,441.1150418017575,432.5686832395373,422.77031327302285,411.7090019553272,399.3714923294356,385.7427998961918,370.8058442697357,354.54135100906615,336.9291966431851,317.9487548423962,300.16115386889027,279.82679804338693,260.1185048073604,241.3076680752707,223.53625817501404,206.84828852871968,191.22368556613412,176.60652704877185,162.92361122537105,150.09691456273475,138.05039328542298,126.71319980729136,116.02172119978695,105.91967135208229,96.35813796036824,87.2953617883489,78.6959712568306,70.53095620476691,62.777160453034924,55.417095293896026,48.439067491018456,41.83701393392889,35.61100666667255,29.76763696758883,24.32056884300712,19.291651852366325,14.711833638557575,10.62275117441999,7.078592208272476,4.147963968790621,1.9168358295089485,0.4911955145756084,-0.00031611188262338665
4003.0,-0.11313131313131315,8.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,8.359890565854359,26.17528446967102,43.89524245905508,61.453383247876616,78.78124404332917,95.80712972768957,112.45510740632628,128.6434267762635,144.28272508115836,159.2739768211294,173.50515643646492,186.84764663580205,199.1506645994845,210.233403308307,219.87491608412205,227.797140845168,233.21550426757003,240.91551821532843,251.25937770962202,263.8081148346744,278.1018622536978,293.72710655509536,310.3441091317248,327.68889265317426,345.5623369534092,363.81713152631136,382.34524776850196,401.06772098249724,419.927053201192,438.8813741900157,457.900312978267,476.9619872709831,496.0508032213552,515.1559210184377,534.270110001789,553.3889344344311,572.5101571204018,591.6332927673128,610.7592656133193,629.890121308497,649.0287496671431,668.1785793956493,687.3431712403917,706.5256501901367,725.7278609526035,744.9490789335863,764.1840932689734,783.4202996473653,802.6334298975522,473.1921144657553,473.05594293543686,471.85447521015885,469.4105769758522,465.7205380862326,460.7789121041876,454.57780389000436,447.1075767377548,438.35603592319916,428.3083669534397,416.9474278826726,404.25282915652497,390.20162908000987,374.76815545110856,357.9243573545148,339.6421921518724,319.89594893169516,301.35439895154167,280.0573281777843,259.3910162507118,239.7356200260066,221.28505194749732,204.0928039868662,188.12416460900928,173.29863448589532,159.51673838342626,146.67653924013192,134.68183793982635,123.44548224812914,112.89101118559613,102.95212791879926,93.57217605132507,84.70341453354115,76.30582872106555,68.34678185777949,60.80024245710523,53.64639460190544,46.87160267927807,40.468116931476175,34.4344685130508,28.77576055346561,23.504140751686744,18.63983029231132,14.211964182182381,10.260099040773827,6.83598757266119,4.005367777420805,1.850802205226864,0.4742573535229823,-0.00030521425347041024
4003.0,-0.1272727272727273,9.0,143.75,10.0,1.0,0.0,0.0,320.0,0.018206896551724132,3.0,13.0,0.00013448275862068965,0.0,,0.002,8.368642445926849,26.19140797046568,43.91454907283577,61.468501612913215,78.78104202739894,95.77586912854471,112.3712866845427,128.478062011374,143.99730578676233,158.8173349890355,172.809490395589,185.8231137072987,197.67730254303527,208.15076651164767,216.96547193131119,223.7624178294548,227.7806296121276,234.2606903509767,243.9317762820793,256.2576887109566,270.64661094580003,286.564658103371,303.58215724340045,321.3742132497771,339.704509053084,358.4041885293933,377.3537756818226,396.46915550798576,415.6911340049801,434.97824075673134,454.3015262394125,473.6410049562004,492.9831517725458,512.3191521734145,531.6436735768609,550.9540022769527,570.2494238342392,589.5307756621353,608.8001173363583,628.0604494735176,647.3154669526965,666.5692721970663,685.8260134918321,705.0893638644362,724.3617509360312,743.6431794520813,762.9294639429778,782.2095551765831,801.461599293913,479.4543856102162,479.3151616460532,478.0877077050389,475.5905996116407,471.8187876593988,466.76461555011343,460.41726660081855,452.76348291750463,443.7863770743196,433.46601865914016,421.7789312283284,408.6978147778939,394.1924036930606,378.2290540341538,360.77315403166335,341.7917009523848,321.2600747582076,302.50185791808656,280.19487121550617,258.47211256911544,237.8708276982368,218.6631604109604,200.91879369897129,184.5855047158804,169.55089222517054,155.68290770806254,142.85047504997846,130.93334387718906,119.82594289983393,109.43712120973144,99.6897780139292,90.51896887045851,81.8705387128865,73.69987638955661,65.9705175601425,58.65362061760207,51.72706878451775,45.175231463516674,38.98880815382103,33.164722651405036,27.70663177577557,22.625159261223665,17.938812963279673,13.674933985512915,9.870864734172311,6.575844462855246,3.852610328374986,1.7801181637634478,0.4561474744362702,-0.0002932731001150282
